"molregno","canonical_smiles","similarity","SAMPLE","Molecule_RDKitCanonical","activity_id","assay_id","doc_id","record_id","standard_relation","standard_value","standard_units","standard_flag","standard_type","activity_comment","data_validity_comment","description","assay_type","assay_test_type","assay_category","assay_organism","assay_tax_id","assay_strain","assay_tissue","assay_cell_type","assay_subcellular_fraction","tid","relationship_type","confidence_score","curated_by","src_id","src_assay_id","chembl_id","target_type","pref_name","tax_id","organism","species_group_flag","Iteration","RankSantiagoFloriane","RankSereina","cScore","rSquared","ec50","ec50_l","ec50_u","EMOLECULES_ID","supplier","CATALOG_NUMBER"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",67497,155123,15023,170427,"=",2.47,"nM",1,"IC50",,,"In vitro inhibitory activity against chloroquine-sensitive Plasmodium falciparum HB3","F",,,"Plasmodium falciparum",5833,,,,,50425,"N",1,"Intermediate",1,,"CHEMBL763697","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",67498,155122,15023,170427,"=",13.2,"nM",1,"IC50",,,"In vitro inhibitory activity against chloroquine-resistant Plasmodium falciparum K1","F",,,"Plasmodium falciparum",5833,,,,,50425,"N",1,"Intermediate",1,,"CHEMBL763696","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",67499,156877,15023,170427,"=",1.92,"mg.kg-1",1,"ED50",,,"In vivo inhibition of Plasmodium falciparum infected male Swiss albino mice (Mus musculus) by oral dose","F",,,"Plasmodium falciparum",5833,,,,,50425,"N",1,"Intermediate",1,,"CHEMBL767360","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",67500,156876,15023,170427,"=",3.3,"mg.kg-1",1,"ED50",,,"In vivo inhibition of Plasmodium falciparum infected male Swiss albino mice (Mus musculus) by intraperitoneal dose","F",,,"Plasmodium falciparum",5833,,,,,50425,"N",1,"Intermediate",1,,"CHEMBL767359","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",67501,232469,15023,170427,"=",5.35,,0,"Resistance factor",,,"Resistance factor by IC50(K1)/IC50(HB3)","F",,,,,,,,,22226,"U",0,"Autocuration",1,,"CHEMBL851634","UNCHECKED","Unchecked",,,,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",551960,155965,14272,268767,"=",3.7,"nM",1,"IC50",,,"In vitro inhibition of chloroquine-sensitive Plasmodium falciparum HB3","F",,,"Plasmodium falciparum",5833,,,,,50425,"N",1,"Intermediate",1,,"CHEMBL762018","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",551961,155964,14272,268767,"=",27.2,"nM",1,"IC50",,,"In vitro inhibition of chloroquine-resistant Plasmodium falciparum K1","F",,,"Plasmodium falciparum",5833,,,,,50425,"N",1,"Intermediate",1,,"CHEMBL762017","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",551962,225634,14272,268767,"=",12613.0,,0,"CAR",,,"Cellular accumulation ratio (CAR) for chloroquine sensitive HB3 strain of Plasmodium falciparum","F",,,,,,,,,22226,"U",0,"Autocuration",1,,"CHEMBL848202","UNCHECKED","Unchecked",,,,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",864034,112978,7270,54156,"=",0.077,"(mg of base) 20g-1",0,"MED",,,"Minimum effective dose which on 5th day reduced the mean infection level to one-fiftieth of the control","F",,,"Mus musculus",10090,,,,,50594,"N",1,"Intermediate",1,,"CHEMBL723790","ORGANISM","Mus musculus",10090,"Mus musculus",,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",864035,228052,7270,54156,"=",15.8,,0,"Ratio",,,"Ratio of activity of quinine versus compound against Plasmodium berghei in mice","F",,,,,,,,,22226,"U",0,"Autocuration",1,,"CHEMBL880395","UNCHECKED","Unchecked",,,,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",864036,40759,7270,54156,"=",3.0,"hr",0,"Time",,,"Time taken for In vitro anti-filarial activity to immobilize breinlia booliati (adult worms)","F",,,"breinlia booliati",,,,,,22226,"U",0,"Autocuration",1,,"CHEMBL651496","UNCHECKED","Unchecked",,,,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
