"molregno","standard_inchi","canonical_smiles","SAMPLE","activity_id","assay_id","doc_id","record_id","standard_relation","standard_value","standard_units","standard_flag","standard_type","activity_comment","data_validity_comment","description","assay_type","assay_test_type","assay_category","assay_organism","assay_tax_id","assay_strain","assay_tissue","assay_cell_type","assay_subcellular_fraction","tid","relationship_type","confidence_score","curated_by","src_id","src_assay_id","chembl_id","target_type","pref_name","tax_id","organism","species_group_flag","Iteration","RankSantiagoFloriane","RankSereina","cScore","rSquared","ec50","ec50_l","ec50_u","EMOLECULES_ID","supplier","CATALOG_NUMBER"
29097,"InChI=1S/C20H22ClN3O/c1-3-24(4-2)13-14-11-16(6-8-20(14)25)23-18-9-10-22-19-12-15(21)5-7-17(18)19/h5-12,25H,3-4,13H2,1-2H3,(H,22,23)","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O","SJ000110703-13",14762808,1369278,84147,2128254,,2.9,,0,"LogD7.4",,,"Octan-1-ol/water (pH7.4) distribution coefficent measured  by a shake flask method described in J. Biomol. Screen. 2011, 16, 348-355. Experimental range -1.5 to 4.5","P",,,,,,,,,22224,"U",0,"Autocuration",27,"2","CHEMBL3301363","ADMET","ADMET",,,0,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"InChI=1S/C20H22ClN3O/c1-3-24(4-2)13-14-11-16(6-8-20(14)25)23-18-9-10-22-19-12-15(21)5-7-17(18)19/h5-12,25H,3-4,13H2,1-2H3,(H,22,23)","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O","SJ000110703-13",14763436,1369287,84147,2128254,,32.36,"uL.min-1.(10^6cells)-1",1,"CL",,,"Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.","A","In vitro",,"Homo sapiens",9606,,"Liver","Hepatocyte",,22224,"U",0,"Autocuration",27,"11","CHEMBL3301372","ADMET","ADMET",,,0,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"InChI=1S/C20H22ClN3O/c1-3-24(4-2)13-14-11-16(6-8-20(14)25)23-18-9-10-22-19-12-15(21)5-7-17(18)19/h5-12,25H,3-4,13H2,1-2H3,(H,22,23)","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O","SJ000110703-13",14766550,1369285,84147,2128254,">",150.0,"mL.min-1.g-1",1,"CL",,,"Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.","A","In vitro",,"Homo sapiens",9606,,"Liver",,"Microsomes",22224,"U",0,"Autocuration",27,"9","CHEMBL3301370","ADMET","ADMET",,,0,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
583947,"InChI=1S/C22H20N4O/c1-27-18-13-11-17(12-14-18)24-22-25-20-10-6-5-9-19(20)21(26-22)23-15-16-7-3-2-4-8-16/h2-14H,15H2,1H3,(H2,23,24,25,26)","COc1ccc(Nc2nc(NCc3ccccc3)c4ccccc4n2)cc1","SJ000171111-3",3035373,600888,49165,864306,"=",7.3,"%",1,"IFI",,,"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.","F",,,,,,,,,22226,"U",0,"Autocuration",3,,"CHEMBL1040694","UNCHECKED","Unchecked",,,0,3,126,,"A Active",1.0,0.36,0.35,0.37,1731000,"ENAMINE","Z56833758"
583947,"InChI=1S/C22H20N4O/c1-27-18-13-11-17(12-14-18)24-22-25-20-10-6-5-9-19(20)21(26-22)23-15-16-7-3-2-4-8-16/h2-14H,15H2,1H3,(H2,23,24,25,26)","COc1ccc(Nc2nc(NCc3ccccc3)c4ccccc4n2)cc1","SJ000171111-3",3037377,600887,49165,864306,"=",8670.0,"nM",1,"CC50",,,"NOVARTIS: Cytotoxicity against human hepatocellular carcinoma cell line (Huh7)","T",,,"Homo sapiens",9606,,,"Huh-7 ",,80169,"N",1,"Autocuration",3,,"CHEMBL1040693","CELL-LINE","Huh-7 ",9606,"Homo sapiens",0,3,126,,"A Active",1.0,0.36,0.35,0.37,1731000,"ENAMINE","Z56833758"
583947,"InChI=1S/C22H20N4O/c1-27-18-13-11-17(12-14-18)24-22-25-20-10-6-5-9-19(20)21(26-22)23-15-16-7-3-2-4-8-16/h2-14H,15H2,1H3,(H2,23,24,25,26)","COc1ccc(Nc2nc(NCc3ccccc3)c4ccccc4n2)cc1","SJ000171111-3",3039554,600886,49165,864306,"=",106.5,"nM",1,"EC50",,,"NOVARTIS: Inhibition of Plasmodium falciparum W2 (drug-resistant) proliferation in erythrocyte-based infection assay","F",,,"Plasmodium falciparum",5833,"W2",,,,50425,"N",1,"Autocuration",3,,"CHEMBL1040692","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",0,3,126,,"A Active",1.0,0.36,0.35,0.37,1731000,"ENAMINE","Z56833758"
583947,"InChI=1S/C22H20N4O/c1-27-18-13-11-17(12-14-18)24-22-25-20-10-6-5-9-19(20)21(26-22)23-15-16-7-3-2-4-8-16/h2-14H,15H2,1H3,(H2,23,24,25,26)","COc1ccc(Nc2nc(NCc3ccccc3)c4ccccc4n2)cc1","SJ000171111-3",3040815,600885,49165,864306,"=",212.5,"nM",1,"EC50",,,"NOVARTIS: Inhibition of Plasmodium falciparum 3D7 (drug-susceptible) proliferation in erythrocyte-based infection assay ","F",,,"Plasmodium falciparum",5833,"3D7",,,,50425,"N",1,"Autocuration",3,,"CHEMBL1040691","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",0,3,126,,"A Active",1.0,0.36,0.35,0.37,1731000,"ENAMINE","Z56833758"
583947,"InChI=1S/C22H20N4O/c1-27-18-13-11-17(12-14-18)24-22-25-20-10-6-5-9-19(20)21(26-22)23-15-16-7-3-2-4-8-16/h2-14H,15H2,1H3,(H2,23,24,25,26)","COc1ccc(Nc2nc(NCc3ccccc3)c4ccccc4n2)cc1","SJ000171111-3",3047315,600890,49166,870542,,7389.0,"nM",1,"EC50",,,"ST_JUDE: Plasmodium falciparum K1 EC50 (uM) as measured by SYBR green dye","F",,,"Plasmodium falciparum",5833,"K1",,,,50425,"N",1,"Autocuration",4,,"CHEMBL730080","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",0,3,126,,"A Active",1.0,0.36,0.35,0.37,1731000,"ENAMINE","Z56833758"
583947,"InChI=1S/C22H20N4O/c1-27-18-13-11-17(12-14-18)24-22-25-20-10-6-5-9-19(20)21(26-22)23-15-16-7-3-2-4-8-16/h2-14H,15H2,1H3,(H2,23,24,25,26)","COc1ccc(Nc2nc(NCc3ccccc3)c4ccccc4n2)cc1","SJ000171111-3",3050806,600889,49166,870542,,1307.5,"nM",1,"EC50",,,"ST_JUDE: Plasmodium falciparum 3D7 EC50 (uM) as measured by SYBR green dye","F",,,"Plasmodium falciparum",5833,"3D7",,,,50425,"N",1,"Autocuration",4,,"CHEMBL730079","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",0,3,126,,"A Active",1.0,0.36,0.35,0.37,1731000,"ENAMINE","Z56833758"
583947,"InChI=1S/C22H20N4O/c1-27-18-13-11-17(12-14-18)24-22-25-20-10-6-5-9-19(20)21(26-22)23-15-16-7-3-2-4-8-16/h2-14H,15H2,1H3,(H2,23,24,25,26)","COc1ccc(Nc2nc(NCc3ccccc3)c4ccccc4n2)cc1","SJ000171111-3",5237269,726822,55744,1335104,"=",92.93,"%",1,"Inhibition",,,"Anticancer activity against human HT-29 cells assessed as growth inhibition at 100 uM by MTT assay","F",,,"Homo sapiens",9606,,,"HT-29",,80166,"N",1,"Autocuration",1,,"CHEMBL1686422","CELL-LINE","HT-29",9606,"Homo sapiens",0,3,126,,"A Active",1.0,0.36,0.35,0.37,1731000,"ENAMINE","Z56833758"
