"molregno","canonical_smiles","similarity","SAMPLE","Molecule_RDKitCanonical","activity_id","assay_id","doc_id","record_id","standard_relation","standard_value","standard_units","standard_flag","standard_type","activity_comment","data_validity_comment","description","assay_type","assay_test_type","assay_category","assay_organism","assay_tax_id","assay_strain","assay_tissue","assay_cell_type","assay_subcellular_fraction","tid","relationship_type","confidence_score","curated_by","src_id","src_assay_id","chembl_id","target_type","pref_name","tax_id","organism","species_group_flag","Iteration","RankSantiagoFloriane","RankSereina","cScore","rSquared","ec50","ec50_l","ec50_u","EMOLECULES_ID","supplier","CATALOG_NUMBER"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",14762808,1369278,84147,2128254,,2.9,,0,"LogD7.4",,,"Octan-1-ol/water (pH7.4) distribution coefficent measured  by a shake flask method described in J. Biomol. Screen. 2011, 16, 348-355. Experimental range -1.5 to 4.5","P",,,,,,,,,22224,"U",0,"Autocuration",27,"2","CHEMBL3301363","ADMET","ADMET",,,0,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",14763436,1369287,84147,2128254,,32.36,"uL.min-1.(10^6cells)-1",1,"CL",,,"Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.","A","In vitro",,"Homo sapiens",9606,,"Liver","Hepatocyte",,22224,"U",0,"Autocuration",27,"11","CHEMBL3301372","ADMET","ADMET",,,0,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
29097,"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",1.0,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",14766550,1369285,84147,2128254,">",150.0,"mL.min-1.g-1",1,"CL",,,"Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.","A","In vitro",,"Homo sapiens",9606,,"Liver",,"Microsomes",22224,"U",0,"Autocuration",27,"9","CHEMBL3301370","ADMET","ADMET",,,0,0,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
1704787,"Cl.Cl.Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",0.9574468085106383,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",2142770,478929,39456,709842,"=",48000.0,"M-1",1,"Ka",,,"Binding affinity to human AAG at 37 degC by induced circular dichroism method","B",,,"Homo sapiens",9606,,,,,22226,"U",0,"Autocuration",1,,"CHEMBL936355","UNCHECKED","Unchecked",,,0,1,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
1704787,"Cl.Cl.Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",0.9574468085106383,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",2142771,478930,39456,709842,"=",58000.0,"M-1",1,"Ka",,,"Binding affinity to human ORM1 at 37 degC by induced circular dichroism method","B",,,"Homo sapiens",9606,,,,,12675,"D",9,"Autocuration",1,,"CHEMBL936356","SINGLE PROTEIN","Alpha-1-acid glycoprotein 1",9606,"Homo sapiens",0,1,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
1704787,"Cl.Cl.Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",0.9574468085106383,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",2273472,566883,46217,753776,"=",4.7,"nM",1,"IC50",,,"Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7","F",,,"Plasmodium falciparum 3D7",36329,,,,,50425,"N",1,"Autocuration",1,,"CHEMBL958383","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",0,1,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
1704787,"Cl.Cl.Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",0.9574468085106383,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",2840065,586269,48285,839181,"=",160.03,"nM",1,"XC50",,,"GSK_TCMDC: Inhibition of Plasmodium falciparum 3D7 in whole erythrocytes, using parasite LDH activity as an index of growth.","F",,,"Plasmodium falciparum",5833,"3D7",,,,50425,"N",1,"Autocuration",2,,"CHEMBL1054503","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",0,1,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
1704787,"Cl.Cl.Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",0.9574468085106383,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",2852475,586267,48285,839181,"=",99.0,"%",1,"Inhibition",,,"GSK_TCMDC: Inhibition of Plasmodium falciparum Dd2 in whole red blood cells, using parasite LDH activity as an index of growth. Test compounds present at 2uM","F",,,"Plasmodium falciparum",5833,"Dd2",,,,50425,"N",1,"Autocuration",2,,"CHEMBL1054501","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",0,1,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
1704787,"Cl.Cl.Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",0.9574468085106383,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",2862778,586268,48285,839181,"=",3.0,"%",1,"Inhibition",,,"GSK_TCMDC: Inhibition of Plasmodium falciparum 3D7 LDH activity, using an LDH reporter assay. Test compounds present at 2uM","F",,,"Plasmodium falciparum",5833,"3D7",,,,50425,"N",1,"Autocuration",2,,"CHEMBL1054502","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",0,1,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
1704787,"Cl.Cl.Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",0.9574468085106383,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",2863202,586270,48285,839181,"=",0.0,"%",1,"Inhibition",,,"GSK_TCMDC: Percent inhibition of human HepG2 cell line. Test compounds present at 10uM.","F",,,"Homo sapiens",9606,,,"HepG2",,81020,"N",1,"Autocuration",2,,"CHEMBL1054504","CELL-LINE","HepG2",9606,"Homo sapiens",0,1,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
1704787,"Cl.Cl.Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",0.9574468085106383,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",2865236,586266,48285,839181,"=",100.0,"%",1,"Inhibition",,,"GSK_TCMDC: Inhibition of Plasmodium falciparum 3D7 in whole red blood cells, using parasite LDH activity as an index of growth. Test compounds present at 2uM","F",,,"Plasmodium falciparum",5833,"3D7",,,,50425,"N",1,"Autocuration",2,,"CHEMBL1054500","ORGANISM","Plasmodium falciparum",5833,"Plasmodium falciparum",0,1,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
1704787,"Cl.Cl.Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",0.9574468085106383,"SJ000110703-13","CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",2867833,586271,48285,839181,"=",2.16,"%",1,"IFI",,,"GSK_TCMDC: Inhibition Frequency Index (IFI). The number of non-kinase HTS assays where a compound showed > 50 % inhibition, expressed as a percentage of the number of such assays in which the compound was tested","F",,,,,,,,,22226,"U",0,"Autocuration",2,,"CHEMBL1054505","UNCHECKED","Unchecked",,,0,1,853,,"A Active",0.98,0.025,0.023,0.031,6720220,"ENAMINE","Z1552192759"
