SAMPLE	MAR3D7_pEC50	Canonical_Smiles
SJ000551065-1	5.83083252314116	Cc1ccc(OCC(O)CNC2CCCCC2)cc1
SJ000551074-1	7.13059560197016	CCCCN(CCCC)CC(O)COc1ccccc1[N+](=O)[O-]
SJ000551078-1	5.38386591717233	OC(CNCc1ccc(OCc2ccccc2)cc1)c3ccccc3
SJ000550504-1	ND	OC(CNC1CCCCC1)COc2ccccc2
SJ000551067-1	5.46420135555529	CC(C)C1CCC(C)CC1OCC(O)CNC2CCCC2
SJ000551146-1	6.61144769899045	Cc1cc(OCC(O)CNC2CCCC2)ccc1Cl
SJ000551070-1	ND	COc1cccc(OCC(O)CNC2CCCC2)c1
SJ000551076-1	6.31481224424083	OC(COc1ccccc1C(=O)Nc2ccccc2)CN(Cc3ccccc3)Cc4ccccc4
SJ000551039-1	5.84926058701004	Cc1ccc(OCC(O)CNC2CCCC2)cc1C
SJ000550936-1	4.8234742291703	Brc1ccc(cc1)C(=O)CNCc2ccccc2
SJ000550490-1	4.8234742291703	CCOC(=O)C1=C(C)NC2=C(C1c3ccc(OCC)cc3)C(=O)CC(C2)c4ccc(Cl)cc4
SJ000550388-1	5.51922412623981	CCOc1cc(ccc1O)C2C(=C(C)NC3=C2C(=O)CC(C3)c4ccc(Cl)cc4)C(=O)OCCOC
SJ000551071-1	5.17716261516645	Cc1cc(Cl)ccc1OCC(O)CNC2CCCC2
SJ000550797-1	5.29570300612449	OC(CNCCc1ccccc1)COc2ccccc2Cl
SJ000550386-1	ND	CC1=C(C(C2=C(CC(CC2=O)c3ccccc3)N1)c4cccc(Cl)c4)C(=O)OCCOc5ccccc5
SJ000551060-1	5.14405226906137	CCCCNCC(O)COc1ccc(Cl)c(C)c1
SJ000550384-1	4.8234742291703	CCOC(=O)C1=C(C)NC2=C(C1c3cccc(OC)c3OC)C(=O)CC(C2)c4ccc(Cl)cc4
SJ000551092-1	ND	CN(C)CCCNCC(O)COc1ccccc1
SJ000550383-1	5.92943127581192	CCOC(=O)C1=C(C)NC2=C(C1c3ccc(OC)cc3)C(=O)CC(C2)c4ccc(Cl)cc4
SJ000551090-1	6.05582681113564	CCCCN(CCCC)CC(O)COc1ccccc1C
SJ000551105-1	5.6136211665391	COc1ccc(OC)c(c1)C2CC(=O)C3=C(C2)NC(=O)CC3c4cccc(Cl)c4Cl
SJ000550951-1	4.8234742291703	COc1ccc(OC)c(c1)C2CC(=O)C3=C(C2)NC(=O)CC3c4ccc(Cl)cc4Cl
SJ000550948-1	ND	COc1ccc(cc1OC)C2CC(=O)C3=C(C2)NC(=O)CC3c4cc(OC)c(OC)c(OC)c4
SJ000550924-1	4.8234742291703	[O-][N+](=O)c1cc(ccc1Cl)C2CC(=O)NC3=C2C(=O)CC(C3)c4cccs4
SJ000550955-1	5.34192767694624	COc1ccc(cc1OC)C2CC(=O)NC3=C2C(=O)CC(C3)c4ccccc4
SJ000550958-1	ND	COc1cc(cc(OC)c1O)C2CC(=O)NC3=C2C(=O)CC(C3)c4ccccc4
SJ000550956-1	4.8234742291703	COc1ccc(C2CC(=O)NC3=C2C(=O)CC(C3)c4ccc(OC)c(OC)c4)c(OC)c1
SJ000550953-1	ND	COc1cc(ccc1OC(C)C)C2CC3=C(C(CC(=O)N3)c4ccc(O)cc4)C(=O)C2
SJ000550954-1	4.8234742291703	COc1cc(ccc1O)C2CC(=O)NC3=C2C(=O)CC(C3)c4ccc(C)cc4
SJ000551107-1	6.67958162864332	CCOc1cc(cc(Cl)c1O)C2CC(=O)NC3=C2C(=O)CC(C3)c4ccc(OC)c(OC)c4
SJ000550959-1	ND	CCOc1ccc(cc1)C2CC(=O)C3=C(C2)NC(=O)CC3c4cc(OC)c(OC)c(OC)c4
